# time, vmax, integral, width, baseline, dt
50.394894,166.199997,6810.643066,57.656830,2.800000,0.190918
50.613102,167.142853,5728.819336,44.589287,1.857143,0.218208
50.618145,169.542862,3514.153809,26.925323,2.457143,0.005043
50.799290,171.671432,6476.811035,52.139664,2.328571,0.181145
51.085697,167.985718,6882.276367,58.069038,2.014286,0.286407
51.110561,136.228577,2685.717041,26.557625,2.771429,0.024864
51.308914,166.600006,6816.805176,58.811325,2.400000,0.198353
51.429028,172.571426,5495.354004,42.746437,2.428571,0.120113
51.655590,157.842850,3081.326904,26.235710,2.157143,0.226562
51.756813,167.428574,3580.870117,28.578461,1.571429,0.101223
51.846931,170.842850,6893.278809,57.237900,2.157143,0.090118
51.928967,157.385712,3179.828613,25.587997,2.614286,0.082035
52.320103,101.142860,1376.418335,16.022865,1.857143,0.391136
52.340866,169.271423,6570.565430,54.547661,1.728571,0.020763
52.623325,156.628571,3061.990723,25.494278,2.371428,0.282459
52.642483,170.714279,6827.051270,56.785713,2.285714,0.019157
52.795044,169.185715,7085.709961,59.092140,1.814286,0.152561
52.951107,172.885712,6505.466309,51.465927,2.114286,0.156063
53.202717,167.442856,6530.529785,53.882095,2.557143,0.251610
53.401337,167.842850,3643.181396,28.207436,2.157143,0.198620
53.493233,171.399994,6646.250488,51.521164,1.600000,0.091896
53.597210,142.157150,2860.339844,25.484398,1.842857,0.103977
53.644104,164.914291,6654.305664,55.319046,2.085714,0.046894
53.686855,166.457138,6493.704590,52.851814,2.542857,0.042751
53.757179,169.942856,6429.288086,51.657326,2.057143,0.070324
53.798088,166.557144,6416.929688,53.340286,2.442857,0.040909
53.876705,164.785721,3907.170410,30.598083,1.214286,0.078617
54.039391,154.128571,2894.182617,24.970657,1.871429,0.162685
54.552113,172.399994,6502.730469,52.187561,1.600000,0.512722
54.693935,172.385712,5767.363281,44.185181,2.614286,0.141823
54.947968,173.228577,6609.655762,53.008171,1.771429,0.254032
55.024204,201.814285,2539.702637,15.639641,2.185714,0.076237
55.157185,152.314285,3004.901855,26.227165,1.685714,0.132980
55.564877,169.399994,6571.798340,53.052856,2.600000,0.407692
55.597404,148.928574,2919.042725,25.280945,2.071429,0.032528
55.761204,167.828568,6415.616699,52.245712,2.171429,0.163799
55.833721,172.357147,6526.855957,52.618645,2.642857,0.072517
55.848759,173.985718,6995.831543,57.070282,2.014286,0.015038
55.914032,166.885712,3680.809082,28.457146,2.114286,0.065273
56.315495,137.457138,2746.933350,25.059334,1.542857,0.401463
56.440548,171.757141,5921.639648,47.153671,2.242857,0.125053
56.580605,167.699997,3577.756104,28.735718,2.300000,0.140057
56.594238,167.014282,6392.846680,52.580635,1.985714,0.013634
56.953613,171.157150,6551.198730,51.740479,1.842857,0.359375
56.997993,121.742859,1666.837036,16.160187,2.257143,0.044380
57.057514,164.685715,3733.922119,29.008003,2.314286,0.059521
57.151894,138.128571,2466.489990,23.560997,2.871428,0.094379
57.585258,173.242859,6857.241211,56.266090,2.757143,0.433365
57.679874,167.942856,5574.543945,43.834282,3.057143,0.094616
58.120644,173.199997,6940.082520,57.822662,1.800000,0.440769
59.064056,157.728577,3119.996338,25.669044,2.271429,0.943413
59.657429,169.185715,3484.024414,26.314667,1.814286,0.593372
59.836823,167.285721,6908.305664,57.306412,1.714286,0.179394
59.918499,166.985718,6499.809082,54.116661,2.014286,0.081676
60.259808,162.071426,3377.247559,27.071663,1.928571,0.341309
60.291950,170.728577,6580.943848,53.394997,2.271429,0.032143
60.438473,168.785721,6842.110352,57.087822,2.214286,0.146523
60.512745,150.885712,3018.898438,25.990005,2.114286,0.074272
60.825150,166.885712,6644.808105,53.417694,2.114286,0.312405
60.950367,172.814285,6571.501465,51.744484,2.185714,0.125217
61.007092,168.071426,7117.444824,57.877686,1.928571,0.056725
